Data,Hora,Core1.Temp,Core2.Temp,Core3.Temp,Core4.Temp,Core5.Temp,Core6.Temp,Core7.Temp,Core8.Temp,Core9.Temp,Core.10Temp,Core11.Temp,Core1.Freq,Core2.Freq,Core3.Freq,Core.4Freq,Core5.Freq,Core6.Freq,Core7.Freq,Core8.Freq,Core9.Freq,Core10.Freq,Core11.Freq
2024-11-01,10:03:07,61,58,58,58,58,59,59,59,58,59,59,892093,633678,781064,482854,843075,1359744,637625,1226461,985357,837263,815019
2024-11-01,10:03:09,91,75,75,75,73,71,71,71,71,75,91,3929026,2122047,3914515,3890313,2895.32,3068322,2982804,2619667,2606.55,960139,2911875
2024-11-01,10:03:11,61,58,58,58,58,61,61,61,61,61,60,549243,612182,572041,552791,1168741,1521667,1480685,1836876,1776.13,2378855,2730.27
2024-11-01,10:03:13,73,69,69,69,69,68,68,68,68,76,68,3389627,3036656,1947809,2729431,3149296,3416645,3384884,1493969,1075,829.88,892663
2024-11-01,10:03:16,62,60,60,60,60,61,61,61,61,62,62,1340592,841552,573487,673302,1657301,1392813,1636325,2358224,911352,834534,635
2024-11-01,10:03:18,61,59,58,58,58,61,61,61,61,59,59,1138.55,1187794,1208732,1600119,1999935,3385041,2157583,653734,683636,537.26,727974
2024-11-01,10:03:20,61,58,58,58,58,59,59,59,59,59,61,1221586,2027528,4313578,4619218,1810456,1257928,898797,630433,788208,862155,872596
2024-11-01,10:03:23,60,58,58,58,58,59,59,59,59,59,59,652888,705455,574162,765465,572679,600152,542407,652968,1000168,802787,535891
2024-11-01,10:03:25,60,58,58,58,58,61,61,61,61,59,59,802487,618028,577669,601625,740382,699547,984576,1074098,739772,599659,599449
2024-11-01,10:03:28,60,58,58,58,58,59,59,59,59,59,60,1552553,877829,695053,671248,1196156,788734,978.96,940381,905556,658465,631.03
2024-11-01,10:03:30,76,73,73,72,72,73,73,73,73,77,75,3187375,3202.42,3364276,3261548,2489833,2640565,2520067,2613515,2585389,2587959,2858692
2024-11-01,10:03:32,64,60,60,60,60,62,62,62,62,62,63,2619422,947717,1131.52,1436101,1042066,1985.86,2484733,2179872,3138346,2833298,3141593
2024-11-01,10:03:34,61,58,58,58,58,59,59,59,59,59,60,924.07,712017,550732,765344,685209,693112,1640392,665856,764043,602213,659045
2024-11-01,10:03:37,61,57,57,57,57,59,59,59,59,59,61,988614,740226,695641,649017,581692,576019,611.09,583846,900547,890567,1314285
2024-11-01,10:03:39,58,57,57,57,57,58,58,58,58,57,56,1302753,1930934,1734449,793083,604672,794738,643897,498446,666.14,519315,737072
2024-11-01,10:03:41,60,55,55,55,55,57,57,57,57,56,55,1045698,472429,766403,628513,717383,861607,611118,576589,773744,806197,648601
2024-11-01,10:03:44,58,57,57,57,58,57,57,57,57,57,57,709204,630607,1538279,1944402,1825532,1170854,956731,709497,511922,768479,597254
2024-11-01,10:03:46,59,55,55,55,55,59,59,59,59,60,57,2023205,666671,907545,502269,631136,614656,936309,653.92,565979,734227,436119
2024-11-01,10:03:48,60,57,57,57,57,57,57,57,57,59,56,980759,566885,497444,514.88,595201,677014,694501,516254,758.76,1246768,602729
2024-11-01,10:03:50,58,55,55,55,55,56,56,57,57,56,55,637.51,861046,799297,498136,492.63,653397,828522,783843,502526,539366,656509
2024-11-01,10:03:53,57,54,54,54,55,57,57,57,56,56,55,918761,627144,578238,897945,825668,1230751,742729,761584,621692,850496,400064
2024-11-01,10:03:55,58,54,54,54,54,56,56,57,57,56,55,659827,637447,695666,743965,752744,1071374,592489,507.08,550549,548.49,732491
2024-11-01,10:03:57,57,54,54,54,54,56,56,56,55,56,54,590505,696959,563426,463228,650208,828706,763862,736554,740172,525131,569166
2024-11-01,10:03:59,56,54,54,54,54,55,55,55,55,57,54,525299,621444,656417,492173,603356,588779,870411,1009203,664137,713031,543985
2024-11-01,10:04:02,57,54,54,54,54,56,56,55,55,55,54,590755,688486,725817,629101,664654,616438,553096,880599,736875,780602,688857
2024-11-01,10:04:04,56,54,54,54,54,55,55,55,56,55,54,469948,448.59,780329,439567,772382,543613,481.06,847.99,414193,608498,490809
2024-11-01,10:04:06,56,54,54,54,53,56,55,55,55,56,54,1066972,936762,1004419,848052,742732,711599,1229402,1182126,1189198,1160739,852113
2024-11-01,10:04:08,56,54,54,54,54,56,56,56,56,55,55,1085.61,900369,886411,849419,806551,816208,1112799,2351612,2476903,2733764,955614
2024-11-01,10:04:11,56,54,54,54,54,56,57,57,57,53,54,824318,554393,732.8,539.64,948374,799162,619855,909131,1203126,1141753,1009214
2024-11-01,10:04:13,57,54,54,54,54,56,56,57,57,53,54,1248662,659.51,655412,704653,868494,654468,860194,712465,997.74,933506,706926
2024-11-01,10:04:15,55,54,53,53,53,55,55,56,56,53,55,777807,602849,793725,889178,834993,875629,711573,1152332,964068,804709,765264
2024-11-01,10:04:17,56,54,54,54,57,57,57,55,55,56,55,1224649,957454,822529,869769,1262595,1171579,604381,999326,922716,1196268,744.37
2024-11-01,10:04:20,57,54,54,54,55,57,57,57,57,55,57,966175,773158,1087968,1196397,1660.42,1208554,1315551,1501227,816631,1095176,1590.51
2024-11-01,10:04:22,56,54,54,54,54,55,56,56,55,55,54,925666,540091,672235,562515,715647,631984,589528,814955,595309,712786,487521
2024-11-01,10:04:24,56,53,53,53,54,55,55,55,55,53,54,608781,553.96,712.23,564734,682787,800105,950359,884547,928892,651841,814515
2024-11-01,10:04:27,55,53,53,53,53,53,54,54,54,53,53,684839,624683,719316,703218,991384,687143,718434,762046,718321,583334,614.59
2024-11-01,10:04:29,55,53,53,53,53,53,53,53,54,51,54,898457,453818,776.68,551003,707697,728212,688923,767268,641438,687457,786085
2024-11-01,10:04:31,55,53,53,53,53,53,53,53,53,53,53,632604,902689,706378,556886,775809,499246,706288,608587,741754,861629,547729
2024-11-01,10:04:33,55,53,53,53,53,55,55,55,55,53,54,1383632,567167,1222154,1181045,1080047,1058018,1069967,903762,743763,715727,1253126
2024-11-01,10:04:36,54,53,53,53,53,53,53,54,54,53,54,834141,567163,1001.78,747696,633975,657391,595588,919632,954138,1042815,760.8
2024-11-01,10:04:38,55,53,53,53,53,55,55,54,54,52,53,895655,991681,974458,856284,897.84,1640745,944752,1113.99,1280951,991609,1515.32
2024-11-01,10:04:40,55,53,53,53,53,55,53,53,53,52,53,748614,514414,563859,503476,678301,604405,824938,658196,1198462,883891,879705
